"t","x_h0","y_h0","x_so","y_so","x_h_so","y_h_so","p_so","ap_so","v_so","x_ne","y_ne","x_h_ne","y_h_ne","x_s1_ne","x_s2_ne","y_s1_ne","y_s2_ne","p1_ne","p2_ne","ap1_ne","ap2_ne","v1_ne","v2_ne"
1,35,9,35,9,0,5,9,9,289.144607702588,35,9,0,0,0,0,0,0,0,0,0,0,129.575538352163,129.575538352163
2,25,16,37,8,0,3,7.92,16.92,287.014755255139,25,16,0,14,0,0,7,7,6.93,6.93,6.93,6.93,130.884382173902,130.884382173902
3,11,18,35,10,0,6,9.801,26.721,286.883591166807,35,3,0,0,0,0,0,0,0,0,6.93,6.93,125.135739569598,125.135739569598
4,7,12,37,8,0,3,7.762392,34.483392,283.720799158391,39,6,0,0,0,0,0,0,0,0,6.93,6.93,126.399736938987,126.399736938987
5,8,7,35,10,0,6,9.6059601,44.0893521,283.556362786254,32,12,0,10,0,0,5,5,4.80298005,4.80298005,11.73298005,11.73298005,127.676501958573,127.676501958573
6,11,5,37,8,0,3,7.6079203992,51.6972724992,280.359962410357,40,4,0,0,0,0,0,0,0,0,11.73298005,11.73298005,123.915658544013,123.915658544013
7,17,4,35,10,0,6,9.41480149401,61.11207399321,280.16157819228,38,9,0,6,0,0,3,3,2.824440448203,2.824440448203,14.557420498203,14.557420498203,125.16733186264,125.16733186264
8,25,4,37,8,0,3,7.45652278325592,68.5685967764659,276.930887062909,40,6,0,0,0,0,0,0,0,0,14.557420498203,14.557420498203,123.401345315798,123.401345315798
9,32,6,35,10,0,6,9.2274469442792,77.7960437207451,276.69786572011,32,12,0,10,0,0,5,5,4.6137234721396,4.6137234721396,19.1711439703426,19.1711439703426,124.647823551311,124.647823551311
10,31,10,37,8,0,3,7.30813797986913,85.1041817006142,273.432187596071,40,4,0,0,0,0,0,0,0,0,19.1711439703426,19.1711439703426,120.856387425566,120.856387425566
11,22,15,35,10,0,6,9.04382075008804,94.1480024507023,273.163825854617,38,9,0,6,0,0,3,3,2.71314622502641,2.71314622502641,21.884290195369,21.884290195369,122.077159015724,122.077159015724
12,12,16,37,8,0,3,7.16270603406973,101.310708484772,269.862450358199,40,6,0,0,0,0,0,0,0,0,21.884290195369,21.884290195369,120.279958601741,120.279958601741
13,9,11,35,10,0,6,8.86384871716129,110.174557201933,269.558030664848,32,12,0,10,0,0,5,5,4.43192435858065,4.43192435858065,26.3162145539497,26.3162145539497,121.494907678526,121.494907678526
14,10,7,37,8,0,3,7.02016818399174,117.194725385925,266.220232994796,40,4,0,0,0,0,0,0,0,0,26.3162145539497,26.3162145539497,117.671623917703,117.671623917703
15,14,5,35,10,0,6,8.68745812768978,125.882183513615,265.879023227066,38,9,0,6,0,0,3,3,2.60623743830693,2.60623743830693,28.9224519922566,28.9224519922566,118.860226179498,118.860226179498
16,20,5,37,8,0,3,6.88046683713031,132.762650350745,262.504063865724,40,6,0,0,0,0,0,0,0,0,28.9224519922566,28.9224519922566,117.030531494443,117.030531494443
17,26,6,35,10,0,6,8.51457771094876,141.277228061694,262.125317036084,32,12,0,10,0,0,5,5,4.25728885547438,4.25728885547438,33.179740847731,33.179740847731,118.212658075195,118.212658075195
18,29,9,37,8,0,3,6.74354554707141,148.020773608765,258.71244145059,40,4,0,0,0,0,0,0,0,0,33.179740847731,33.179740847731,114.356220277974,114.356220277974
19,24,13,35,10,0,6,8.34513761450087,156.365911223266,258.295395404637,38,9,0,0,0,0,0,0,0,0,33.179740847731,33.179740847731,115.511333614116,115.511333614116
20,16,15,37,8,0,3,6.60934899068469,162.975260213951,254.843833742057,24,17,0,14,0,0,7,7,5.78318036684911,5.78318036684911,38.9629212145801,38.9629212145801,116.678114761733,116.678114761733
21,11,13,35,10,0,6,8.17906937597231,171.154329589923,254.387710850563,33,4,0,2,0,0,1,1,0.817906937597231,0.817906937597231,39.7808281521773,39.7808281521773,110.785974506801,110.785974506801
22,10,9,37,8,0,3,6.47782294577007,177.632152535693,250.896677626831,41,4,0,0,0,0,0,0,0,0,39.7808281521773,39.7808281521773,110.894923744243,110.894923744243
23,12,6,35,10,0,6,8.01630589539046,185.648458431084,250.400684471547,38,9,0,0,0,0,0,0,0,0,39.7808281521773,39.7808281521773,112.015074489135,112.015074489135
24,17,5,37,8,0,3,6.34891426914924,191.997372700233,246.869378254088,24,17,0,14,0,0,7,7,5.55529998550559,5.55529998550559,45.3361281376829,45.3361281376829,113.146539888015,113.146539888015
25,23,5,35,10,0,6,7.85678140807219,199.854154108305,246.332705307159,33,4,0,2,0,0,1,1,0.785678140807219,0.785678140807219,46.1218062784901,46.1218062784901,107.218727159611,107.218727159611
26,29,7,37,8,0,3,6.22257087519317,206.076724983498,242.76030839107,41,4,0,0,0,0,0,0,0,0,46.1218062784901,46.1218062784901,107.291643595567,107.291643595567
27,28,11,35,10,0,6,7.70043145805155,213.77715644155,242.182129687949,38,9,0,0,0,0,0,0,0,0,46.1218062784901,46.1218062784901,108.375397571279,108.375397571279
28,20,15,37,8,0,3,6.09874171477683,219.875898156327,238.567807765605,24,17,0,14,0,0,7,7,5.33639900042972,5.33639900042972,51.4582052789198,51.4582052789198,109.470098556848,109.470098556848
29,12,15,35,10,0,6,7.54719287203633,227.423091028363,237.947280571319,33,4,0,2,0,0,1,1,0.754719287203633,0.754719287203633,52.2129245661235,52.2129245661235,103.505150057422,103.505150057422
30,9,11,37,8,0,3,5.97737675465277,233.400467783016,234.290182395271,41,4,0,0,0,0,0,0,0,0,52.2129245661235,52.2129245661235,103.540555613558,103.540555613558
31,10,7,35,10,0,6,7.3970037338828,240.797471516899,233.626446863911,38,9,0,0,0,0,0,0,0,0,52.2129245661235,52.2129245661235,104.586419811674,104.586419811674
32,14,5,37,8,0,3,5.85842695723518,246.655898474134,229.92570390294,24,17,0,14,0,0,7,7,5.12612358758078,5.12612358758078,57.3390481537043,57.3390481537043,105.642848294621,105.642848294621
33,20,5,35,10,0,6,7.24980335957853,253.905701833712,229.217882730242,33,4,0,2,0,0,1,1,0.724980335957853,0.724980335957853,58.0640284896621,58.0640284896621,99.639240701637,99.639240701637
34,26,6,37,8,0,3,5.7418442607862,259.647546094499,225.472608818427,41,4,0,0,0,0,0,0,0,0,58.0640284896621,58.0640284896621,99.6355966683202,99.6355966683202
35,29,9,35,10,0,6,7.10553227272292,266.753078367221,224.7198068873,38,9,0,0,0,0,0,0,0,0,58.0640284896621,58.0640284896621,100.642016836687,100.642016836687
36,24,13,37,8,0,3,5.62758155999655,272.380659927218,220.929097865959,24,17,0,14,0,0,7,7,4.92413386499698,4.92413386499698,62.9881623546591,62.9881623546591,101.65860286534,101.65860286534
37,16,15,35,10,0,6,6.96413218049574,279.344792107714,220.130401884807,33,4,0,2,0,0,1,1,0.696413218049573,0.696413218049573,63.6845755727087,63.6845755727087,95.6147503690308,95.6147503690308
38,11,13,37,8,0,3,5.51559268695262,284.860384794666,216.293335237179,41,4,0,0,0,0,0,0,0,0,63.6845755727087,63.6845755727087,95.5704549182129,95.5704549182129
39,10,9,35,10,0,6,6.82554595010387,291.68593074477,215.447813370888,38,9,0,0,0,0,0,0,0,0,63.6845755727087,63.6845755727087,96.5358130486999,96.5358130486999
40,12,6,37,8,0,3,5.40583239248226,297.091763137252,211.563447849382,24,17,0,14,0,0,7,7,4.73010334342198,4.73010334342198,68.4146789161306,68.4146789161306,97.5109222714141,97.5109222714141
41,17,5,35,10,0,6,6.6897175856968,303.781480722949,210.67014934281,33,4,0,2,0,0,1,1,0.66897175856968,0.66897175856968,69.0836506747003,69.0836506747003,91.4251740115294,91.4251740115294
42,23,5,37,8,0,3,5.29825632787187,309.079737050821,206.737524588697,41,4,0,0,0,0,0,0,0,0,69.0836506747003,69.0836506747003,91.3385596076054,91.3385596076054
43,29,7,35,10,0,6,6.55659220574144,315.636329256563,205.795479382522,38,9,0,0,0,0,0,0,0,0,69.0836506747003,69.0836506747003,92.2611713208136,92.2611713208136
44,28,11,37,8,0,3,5.19282102694722,320.82915028351,201.813615537901,24,17,0,14,0,0,7,7,4.54371839857882,4.54371839857882,73.6273690732791,73.6273690732791,93.1931023442561,93.1931023442561
45,20,15,35,10,0,6,6.42611602084718,327.255266304357,200.821833876668,33,4,0,2,0,0,1,1,0.642611602084718,0.642611602084718,74.2699806753639,74.2699806753639,87.0637397416728,87.0637397416728
46,12,15,37,8,0,3,5.08948388851097,332.344750192868,196.789731188553,41,4,0,0,0,0,0,0,0,0,74.2699806753639,74.2699806753639,86.9330704461342,86.9330704461342
47,9,11,35,10,0,6,6.29823631203232,338.6429865049,195.747203220761,38,9,0,0,0,0,0,0,0,0,74.2699806753639,74.2699806753639,87.8111822688224,87.8111822688224
48,10,7,37,8,0,3,4.9882031591296,343.63118966403,191.663841637132,24,17,0,14,0,0,7,7,4.3646777642384,4.3646777642384,78.6346584396022,78.6346584396022,88.6981639079014,88.6981639079014
49,14,5,35,10,0,6,6.17290140942288,349.804091073453,190.569537007204,33,4,0,0,0,0,0,0,0,0,78.6346584396022,78.6346584396022,82.5233978867691,82.5233978867691
50,20,5,37,8,0,3,4.88893791626292,354.693028989716,186.433875764853,36,7,0,4,0,0,2,2,1.22223447906573,1.22223447906573,79.856892918668,79.856892918668,83.3569675623931,83.3569675623931
51,26,6,35,10,0,6,6.05006067137536,360.743089661091,185.286743196821,40,6,0,0,0,0,0,0,0,0,79.856892918668,79.856892918668,82.1787551135283,82.1787551135283
52,29,9,37,8,0,3,4.79164805172929,365.53473771282,181.097720400829,32,12,0,10,0,0,5,5,2.99478003233081,2.99478003233081,82.8516729509988,82.8516729509988,83.0088435490185,83.0088435490185
53,24,13,35,10,0,6,5.92966446401499,371.464402176835,179.896687273565,40,4,0,0,0,0,0,0,0,0,82.8516729509988,82.8516729509988,78.7968116656753,78.7968116656753
54,16,15,37,8,0,3,4.69629425549988,376.160696432335,175.653219468247,38,9,0,0,0,0,0,0,0,0,82.8516729509988,82.8516729509988,79.5927390562377,79.5927390562377
55,11,13,35,10,0,6,5.8116641411811,381.972360573516,174.397191382068,24,17,0,14,0,0,7,7,4.06816489882677,4.06816489882677,86.9198378498256,86.9198378498256,80.3967061174118,80.3967061174118
56,10,9,37,8,0,3,4.60283799981543,386.575198573332,170.0981731132,33,4,0,2,0,0,1,1,0.575354749976928,0.575354749976928,87.4951925998025,87.4951925998025,74.1380869872846,74.1380869872846
57,12,6,35,10,0,6,5.69601202477159,392.271210598103,168.786033447677,41,4,0,0,0,0,0,0,0,0,87.4951925998025,87.4951925998025,73.8768555427117,73.8768555427117
58,17,5,37,8,0,3,4.5112415236191,396.782452121722,164.430336815835,38,9,0,0,0,0,0,0,0,0,87.4951925998025,87.4951925998025,74.6230864067795,74.6230864067795
59,23,5,35,10,0,6,5.58266138547864,402.365113507201,163.060946278621,24,17,0,14,0,0,7,7,3.90786296983505,3.90786296983505,91.4030555696375,91.4030555696375,75.376854956343,75.376854956343
60,29,7,37,8,0,3,4.42146781729908,406.7865813245,158.647420483456,33,4,0,2,0,0,1,1,0.552683477162385,0.552683477162385,91.9557390467999,91.9557390467999,69.0675302589323,69.0675302589323
61,28,11,35,10,0,6,5.47156642390761,412.258147748408,157.219616649956,41,4,0,0,0,0,0,0,0,0,91.9557390467999,91.9557390467999,68.7550810696286,68.7550810696286
62,20,15,37,8,0,3,4.33348060773483,416.591628356143,152.747087525208,38,9,0,0,0,0,0,0,0,0,91.9557390467999,91.9557390467999,69.4495768380087,69.4495768380087
63,12,15,35,10,0,6,5.36268225207185,421.954310608214,151.259684368897,24,17,0,14,0,0,7,7,3.75387757645029,3.75387757645029,95.7096166232502,95.7096166232502,70.1510877151603,70.1510877151603
64,9,11,37,8,0,3,4.24724434364091,426.201554951855,146.726953907976,33,4,0,2,0,0,1,1,0.530905542955113,0.530905542955113,96.2405221662053,96.2405221662053,63.7889774900609,63.7889774900609
65,10,7,35,10,0,6,5.25596487525562,431.457519827111,145.178741321188,41,4,0,0,0,0,0,0,0,0,96.2405221662053,96.2405221662053,63.4232095859201,63.4232095859201
66,14,5,37,8,0,3,4.16272418120245,435.620244008313,140.584587193119,38,9,0,0,0,0,0,0,0,0,96.2405221662053,96.2405221662053,64.0638480665859,64.0638480665859
67,20,5,35,10,0,6,5.15137117423803,440.771615182551,138.9743304981,24,17,0,14,0,0,7,7,3.60595982196662,3.60595982196662,99.8464819881719,99.8464819881719,64.7109576430161,64.7109576430161
68,26,6,37,8,0,3,4.07988596999652,444.851501152548,134.317505553637,33,4,0,2,0,0,1,1,0.509985746249565,0.509985746249565,100.356467734422,100.356467734422,58.2938966091072,58.2938966091072
69,29,9,35,10,0,6,5.0488588878707,449.900360040419,132.643945003674,41,4,0,0,0,0,0,0,0,0,100.356467734422,100.356467734422,57.872622837482,57.872622837482
70,24,13,37,8,0,3,3.99869623919359,453.899056279612,127.923176771387,38,9,0,0,0,0,0,0,0,0,100.356467734422,100.356467734422,58.4571947853354,58.4571947853354
71,16,15,35,10,0,6,4.94838659600207,458.847442875614,126.185027041806,24,17,0,14,0,0,7,7,3.46387061720145,3.46387061720145,103.820338351623,103.820338351623,59.0476715003388,59.0476715003388
72,11,13,37,8,0,3,3.91912218403364,462.766565059648,121.399017213945,33,4,0,2,0,0,1,1,0.489890273004205,0.489890273004205,104.310228624627,104.310228624627,52.5734055558977,52.5734055558977
73,10,9,35,10,0,6,4.84991370274163,467.61647876239,119.594966882773,41,4,0,0,0,0,0,0,0,0,104.310228624627,104.310228624627,52.0943490463613,52.0943490463613
74,12,6,37,8,0,3,3.84113165257137,471.457610414961,114.742390790679,38,9,0,0,0,0,0,0,0,0,104.310228624627,104.310228624627,52.6205545922842,52.6205545922842
75,17,5,35,10,0,6,4.75340042005707,476.211010835018,112.871101808767,24,17,0,14,0,0,7,7,3.32738029403995,3.32738029403995,107.637608918667,107.637608918667,53.1520753457416,53.1520753457416
76,23,5,37,8,0,3,3.7646931326852,479.975703967703,107.950607887644,33,4,0,0,0,0,0,0,0,0,107.637608918667,107.637608918667,46.6182579249915,46.6182579249915
77,29,7,35,10,0,6,4.65880775169793,484.634511719401,106.010715038024,36,7,0,4,0,0,2,2,0.931761550339587,0.931761550339587,108.569370469007,108.569370469007,47.0891494191834,47.0891494191834
78,28,11,37,8,0,3,3.68977573934476,488.324287458746,101.020924280832,40,6,0,0,0,0,0,0,0,0,108.569370469007,108.569370469007,45.5445953729125,45.5445953729125
79,20,15,35,10,0,6,4.56609747743915,492.890384936185,99.0110346271032,32,12,0,10,0,0,5,5,2.28304873871957,2.28304873871957,110.852419207726,110.852419207726,46.0046417908207,46.0046417908207
80,12,15,37,8,0,3,3.6163492021318,496.506734138317,93.9505400273769,40,4,0,0,0,0,0,0,0,0,110.852419207726,110.852419207726,41.4188300917381,41.4188300917381
81,9,11,35,10,0,6,4.47523213763811,500.981966275955,91.8692323508858,38,9,0,0,0,0,0,0,0,0,110.852419207726,110.852419207726,41.8372021128667,41.8372021128667
82,10,7,37,8,0,3,3.54438385300938,504.526350128964,86.7365983342281,24,17,0,14,0,0,7,7,3.10133587138321,3.10133587138321,113.953755079109,113.953755079109,42.2598001140068,42.2598001140068
83,14,5,35,10,0,6,4.38617501809911,508.912525147063,84.5824225598264,33,4,0,2,0,0,1,1,0.438617501809911,0.438617501809911,114.392372580919,114.392372580919,35.615959711118,35.615959711118
84,20,5,37,8,0,3,3.47385061433449,512.386375761398,79.376184403865,41,4,0,0,0,0,0,0,0,0,114.392372580919,114.392372580919,34.9656158698161,34.9656158698161
85,26,6,35,10,0,6,4.29889013523893,516.685265896637,77.1476610140051,38,9,0,0,0,0,0,0,0,0,114.392372580919,114.392372580919,35.3188039089052,35.3188039089052
86,29,9,37,8,0,3,3.40472098710924,520.089986883746,71.8663242565708,24,17,0,14,0,0,7,7,2.97913086372058,2.97913086372058,117.37150344464,117.37150344464,35.6755595039446,35.6755595039446
87,24,13,35,10,0,6,4.21334222154768,524.303329105294,69.5619436935058,33,4,0,2,0,0,1,1,0.421334222154768,0.421334222154768,117.792837666795,117.792837666795,28.9652116201461,28.9652116201461
88,16,15,37,8,0,3,3.33696703946576,527.64029614476,64.2039835287938,41,4,0,0,0,0,0,0,0,0,117.792837666795,117.792837666795,28.2476885051981,28.2476885051981
89,11,13,35,10,0,6,4.12949671133888,531.769792856099,61.8222055846402,38,9,0,0,0,0,0,0,0,0,117.792837666795,117.792837666795,28.5330186921193,28.5330186921193
90,10,9,37,8,0,3,3.27056139538039,535.040354251479,56.3860662471113,24,17,0,14,0,0,7,7,2.86174122095784,2.86174122095784,120.654578887753,120.654578887753,28.8212310021407,28.8212310021407
91,12,6,35,10,0,6,4.04731972678324,539.087673978262,53.9253194415265,33,4,0,2,0,0,1,1,0.404731972678324,0.404731972678324,121.059310860431,121.059310860431,22.0416474769098,22.0416474769098
92,17,5,37,8,0,3,3.20547722361232,542.293151201874,48.4094135772995,41,4,0,0,0,0,0,0,0,0,121.059310860431,121.059310860431,21.2541893706159,21.2541893706159
93,23,5,35,10,0,6,3.96677806422025,546.259929266095,45.8680945225248,38,9,0,0,0,0,0,0,0,0,121.059310860431,121.059310860431,21.4688781521373,21.4688781521373
94,29,7,37,8,0,3,3.14168822686244,549.401617492957,40.2708025480048,24,17,0,14,0,0,7,7,2.74897719850463,2.74897719850463,123.808288058936,123.808288058936,21.6857355072094,21.6857355072094
95,28,11,35,10,0,6,3.88783918074227,553.2894566737,37.647275301015,33,4,0,0,0,0,0,0,0,0,123.808288058936,123.808288058936,14.8340762699085,14.8340762699085
96,20,15,37,8,0,3,3.07916863114788,556.368625304847,31.9669447485,36,7,0,4,0,0,2,2,0.769792157786969,0.769792157786969,124.578080216723,124.578080216723,14.98391542415,14.98391542415
97,12,15,35,10,0,6,3.8104711810455,560.179096485893,29.25954015,40,6,0,0,0,0,0,0,0,0,124.578080216723,124.578080216723,13.115066085,13.115066085
98,9,11,37,8,0,3,3.01789317538803,563.196989661281,23.494485,32,12,0,10,0,0,5,5,1.88618323461752,1.88618323461752,126.46426345134,126.46426345134,13.2475415,13.2475415
99,10,7,35,10,0,6,3.73464280454269,566.931632465824,20.7015,40,4,0,0,0,0,0,0,0,0,126.46426345134,126.46426345134,8.33085,8.33085
100,14,5,37,8,0,0,2.95783710119781,569.889469567021,14.85,38,9,0,0,0,0,0,0,0,0,126.46426345134,126.46426345134,8.415,8.415
101,20,5,27,15,0,15,5.49048511909844,575.37995468612,15,24,17,0,17,0,0,17,17,3.11127490082245,3.11127490082245,129.575538352162,129.575538352162,8.5,8.5
